,Unnamed: 0,Company,TypeName,Inches,Ram,OpSys,Weight,Price_euros,Screen,ScreenW,ScreenH,Touchscreen,IPSpanel,RetinaDisplay,CPU_brand,CPU_base_clock_speed,PrimaryStorage,PrimaryStorageType,SecondaryStorage,SecondaryStorageType,GPU_company,UsageType
837,837,16,3,15.6,4.0,5,2.0,669.0,3,1366.0,768.0,0,0,0,1,2.4,500,1,0,2,2,1
838,838,10,3,14.0,4.0,1,1.5,325.0,3,1366.0,768.0,0,0,0,1,1.6,16,0,0,2,2,2
839,839,2,3,15.6,8.0,5,2.3,590.0,1,1920.0,1080.0,0,0,0,1,2.5,128,1,0,2,2,0
840,840,2,1,17.3,16.0,5,2.73,1799.0,1,1920.0,1080.0,0,0,0,1,2.6,512,3,1024,0,3,0
841,841,4,1,17.3,16.0,5,3.78,2711.2200000000007,1,1920.0,1080.0,0,1,0,1,2.8,512,3,1024,0,3,0
842,842,7,3,17.3,8.0,5,2.63,910.0,3,1600.0,900.0,0,0,0,1,2.5,1,4,0,2,3,0
843,843,4,3,15.6,8.0,5,2.18,713.99,3,1366.0,768.0,0,0,0,1,2.5,128,3,0,2,2,0
844,844,7,4,14.0,8.0,7,1.54,1870.0,1,1920.0,1080.0,0,0,0,1,2.5,512,3,0,2,2,0
845,845,4,3,15.6,4.0,5,2.18,739.0,1,1920.0,1080.0,0,0,0,1,2.7,256,3,0,2,0,0
846,846,7,0,11.6,4.0,1,1.4,615.0,3,1366.0,768.0,1,0,0,1,1.1,32,0,0,2,2,2
847,847,2,4,13.3,8.0,5,1.45,1026.0,1,1920.0,1080.0,0,1,0,1,2.3,512,3,0,2,3,0
848,848,7,0,13.3,8.0,5,1.28,2277.0,1,1920.0,1080.0,1,0,0,1,2.5,256,3,0,2,2,0
849,849,7,4,14.0,8.0,5,1.54,1468.0,1,1920.0,1080.0,0,0,0,1,2.5,512,3,0,2,2,0
850,850,7,3,15.6,4.0,4,1.86,299.0,3,1366.0,768.0,0,0,0,1,1.6,128,3,0,2,2,1
851,851,2,1,15.6,16.0,5,2.1,1899.0,1,1920.0,1080.0,0,0,0,1,2.8,128,3,1024,0,3,0
852,852,4,3,17.3,8.0,2,2.83,865.0,1,1920.0,1080.0,0,0,0,1,2.7,1,4,0,2,0,0
853,853,10,4,14.0,8.0,5,1.96,1903.0,1,1920.0,1080.0,0,1,0,1,2.8,256,3,0,2,3,0
854,854,2,3,15.6,8.0,5,2.3,787.0,1,1920.0,1080.0,0,1,0,1,2.7,256,3,0,2,3,0
855,855,4,3,15.6,8.0,5,1.9,945.0,1,1920.0,1080.0,0,0,0,1,2.5,128,3,0,2,2,0
856,856,2,3,15.6,4.0,5,2.0,449.0,3,1366.0,768.0,0,0,0,1,1.1,1,4,0,2,2,1
857,857,7,0,13.3,8.0,5,1.28,2559.0,1,1920.0,1080.0,1,0,0,1,2.8,256,3,0,2,2,0
858,858,4,3,13.3,8.0,5,1.62,649.0,1,1920.0,1080.0,1,0,0,1,2.3,1,4,0,2,2,2
859,859,10,3,15.6,4.0,4,2.2,469.0,1,1920.0,1080.0,0,0,0,1,2.0,1,4,0,2,2,1
860,860,10,3,15.6,8.0,5,2.3,850.66,1,1920.0,1080.0,0,1,0,1,2.5,1,4,0,2,2,0
861,861,7,3,15.6,8.0,5,1.84,1349.0,1,1920.0,1080.0,0,0,0,1,2.6,256,3,0,2,0,0
862,862,16,3,13.3,4.0,5,1.05,1285.0,1,1920.0,1080.0,0,0,0,1,2.5,128,3,0,2,2,2
863,863,10,1,15.6,8.0,4,2.5,1017.0,1,1920.0,1080.0,0,1,0,1,2.5,1,4,0,2,3,0
864,864,4,4,13.3,16.0,5,1.29,2240.0,2,3200.0,1800.0,1,0,0,1,2.5,512,3,0,2,2,0
865,865,7,3,15.6,4.0,5,2.07,910.0,1,1920.0,1080.0,0,0,0,1,2.3,500,1,0,2,2,2
866,866,16,4,13.3,8.0,5,1.2,1095.0,3,1366.0,768.0,0,0,0,1,2.3,256,3,0,2,2,2
867,867,10,0,13.3,8.0,5,1.37,1950.0,1,1920.0,1080.0,1,1,0,1,2.7,256,3,0,2,2,0
868,868,0,3,14.0,8.0,5,1.56,902.0,1,1920.0,1080.0,0,1,0,1,2.5,256,3,0,2,2,0
869,869,4,5,15.6,8.0,5,2.23,1778.0,1,1920.0,1080.0,0,0,0,1,2.8,1,4,0,2,3,0
870,870,10,3,15.6,4.0,5,2.38,1055.0,3,1366.0,768.0,0,0,0,1,2.5,500,1,0,2,2,2
871,871,10,3,15.6,4.0,4,2.2,479.0,1,1920.0,1080.0,0,0,0,1,2.0,1,4,0,2,0,0
872,872,16,3,15.6,8.0,5,2.0,1388.0,1,1920.0,1080.0,0,1,0,1,2.7,256,3,0,2,2,0
873,873,10,3,13.3,4.0,5,1.44,735.0,1,1920.0,1080.0,0,1,0,1,2.4,180,3,0,2,2,2
874,874,15,4,15.0,16.0,5,1.23,1849.0,1,1920.0,1080.0,0,0,0,1,2.7,256,3,0,2,3,0
