,Unnamed: 0,Company,TypeName,Inches,Ram,OpSys,Weight,Price_euros,Screen,ScreenW,ScreenH,Touchscreen,IPSpanel,RetinaDisplay,CPU_brand,CPU_base_clock_speed,PrimaryStorage,PrimaryStorageType,SecondaryStorage,SecondaryStorageType,GPU_company,UsageType
939,939,Dell,Gaming,17.3,16.0,Windows 10,3.78,2711.2200000000007,Standard,2560.0,1440.0,No,No,No,Intel,2.7,512,GB SSD,1024,HDD,Nvidia,Programming
940,940,HP,Gaming,17.3,8.0,Windows 10,2.75,1399.0,Full HD,1920.0,1080.0,No,Yes,No,Intel,2.3,128,GB SSD,1024,HDD,Nvidia,Programming
941,941,Asus,Notebook,17.3,4.0,Windows 10,2.8,530.0,Standard,1600.0,900.0,No,No,No,Intel,1.6,1,TB HDD,0,No,Nvidia,Programming
942,942,Acer,Notebook,15.6,4.0,Windows 10,2.23,619.0,Standard,1366.0,768.0,No,No,No,Intel,2.5,500,GB HDD,0,No,Intel,Uni/School
943,943,Toshiba,Notebook,15.6,8.0,Windows 10,2.2,1119.0,Standard,1366.0,768.0,No,No,No,Intel,2.3,256,GB SSD,0,No,Intel,Work/Business
944,944,Lenovo,2 in 1 Convertible,11.6,8.0,Windows 10,1.1,1299.0,Full HD,1920.0,1080.0,Yes,Yes,No,Intel,1.2,256,GB SSD,0,No,Intel,Work/Business
945,945,Lenovo,Gaming,15.6,16.0,Windows 10,2.5,999.0,Full HD,1920.0,1080.0,No,Yes,No,AMD,2.1,512,GB SSD,1024,HDD,AMD,Programming
946,946,Dell,Ultrabook,12.5,8.0,Windows 10,1.36,1472.2,Full HD,1920.0,1080.0,Yes,No,No,Intel,2.5,256,GB SSD,0,No,Intel,Programming
947,947,Lenovo,Notebook,15.6,8.0,No OS,2.2,685.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.7,1,TB HDD,0,No,Nvidia,Programming
948,948,Dell,Notebook,17.3,4.0,Windows 10,2.36,659.0,Standard,1600.0,900.0,No,No,No,Intel,2.0,1,TB HDD,0,No,AMD,Programming
949,949,Acer,Notebook,14.0,4.0,Chrome OS,1.68,349.0,Standard,1366.0,768.0,No,No,No,Intel,1.6,32,GB Flash Storage,0,No,Intel,Work/Business
950,950,HP,Workstation,15.6,8.0,Windows 10,2.0,2249.0,Full HD,1920.0,1080.0,No,Yes,No,Intel,2.7,8,GB SSD,0,No,Nvidia,Programming
951,951,Dell,Ultrabook,14.0,8.0,Windows 10,1.36,1775.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.8,256,GB SSD,0,No,Intel,Programming
952,952,Toshiba,Notebook,13.3,8.0,Windows 7,1.2,1460.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.3,256,GB SSD,0,No,Intel,Work/Business
953,953,Asus,2 in 1 Convertible,12.5,8.0,Chrome OS,1.2,1159.0,Full HD,1920.0,1080.0,No,No,No,Intel,1.2,64,GB Flash Storage,0,No,Intel,Work/Business
954,954,Lenovo,Ultrabook,14.0,8.0,Windows 10,1.7,1488.99,Full HD,1920.0,1080.0,No,Yes,No,Intel,2.6,256,GB SSD,0,No,Intel,Programming
955,955,Dell,Gaming,17.3,16.0,Windows 10,3.78,2711.2200000000007,4K Ultra HD,3840.0,2160.0,No,Yes,No,Intel,2.8,512,GB SSD,1024,HDD,Nvidia,Programming
956,956,Dell,2 in 1 Convertible,13.3,8.0,Windows 10,1.24,1899.0,Full HD,1920.0,1080.0,Yes,No,No,Intel,1.2,256,GB SSD,0,No,Intel,Work/Business
957,957,HP,2 in 1 Convertible,11.6,4.0,Windows 10,1.45,775.0,Standard,1366.0,768.0,Yes,No,No,Intel,1.1,256,GB SSD,0,No,Intel,Work/Business
958,958,Dell,Ultrabook,13.3,8.0,Windows 10,1.3,1268.0,Quad HD+,3200.0,1800.0,No,No,No,Intel,2.5,256,GB SSD,0,No,Intel,Programming
959,959,Acer,2 in 1 Convertible,11.6,4.0,Chrome OS,1.25,389.0,Standard,1366.0,768.0,Yes,Yes,No,Intel,1.6,32,GB Flash Storage,0,No,Intel,Work/Business
960,960,Toshiba,Notebook,13.3,8.0,Windows 10,1.2,1535.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.4,256,GB SSD,0,No,Intel,Work/Business
961,961,Lenovo,Ultrabook,12.5,8.0,Windows 10,1.36,1760.0,Full HD,1920.0,1080.0,No,Yes,No,Intel,2.6,256,GB SSD,0,No,Intel,Programming
962,962,Acer,Notebook,15.6,12.0,Windows 10,2.4,1009.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.5,128,GB SSD,1024,HDD,Nvidia,Programming
963,963,Toshiba,Ultrabook,12.5,8.0,Windows 10,1.1,1790.0,Full HD,1920.0,1080.0,Yes,No,No,Intel,2.7,512,GB SSD,0,No,Intel,Programming
964,964,HP,Notebook,15.6,8.0,Windows 10,2.04,846.5,Standard,1366.0,768.0,No,No,No,Intel,2.5,1,TB HDD,0,No,Nvidia,Programming
965,965,Dell,Notebook,15.6,4.0,Linux,2.25,465.62,Standard,1366.0,768.0,No,No,No,Intel,2.0,1,TB HDD,0,No,AMD,Programming
966,966,Dell,Notebook,15.6,4.0,Windows 10,1.9,825.0,Standard,1366.0,768.0,No,No,No,Intel,2.5,500,GB HDD,0,No,Intel,Work/Business
967,967,HP,Notebook,15.6,4.0,Windows 10,2.04,685.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.4,500,GB HDD,0,No,Intel,Uni/School
968,968,Dell,Gaming,17.3,16.0,Windows 10,3.78,2711.2200000000007,Full HD,1920.0,1080.0,No,Yes,No,Intel,2.8,256,GB SSD,1024,HDD,Nvidia,Programming
969,969,Lenovo,Notebook,15.6,6.0,Windows 10,2.4,695.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.5,256,GB SSD,0,No,Nvidia,Programming
970,970,Dell,2 in 1 Convertible,13.3,16.0,Windows 10,1.22,1899.0,Quad HD+,3200.0,1800.0,Yes,No,No,Intel,1.3,512,GB SSD,0,No,Intel,Programming
971,971,Dell,Ultrabook,14.0,8.0,Windows 10,1.5,1962.98,Standard,2560.0,1440.0,Yes,No,No,Intel,2.6,256,GB SSD,0,No,Intel,Programming
972,972,Dell,Gaming,17.3,16.0,Windows 10,3.78,2711.2200000000007,Full HD,1920.0,1080.0,No,No,No,Intel,2.6,256,GB SSD,1024,HDD,Nvidia,Programming
973,973,Toshiba,Notebook,14.0,8.0,Windows 10,1.95,1180.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.3,256,GB SSD,0,No,Intel,Work/Business
974,974,Asus,Gaming,17.3,16.0,Windows 10,2.73,2049.9,Full HD,1920.0,1080.0,No,No,No,Intel,2.8,256,GB SSD,1024,HDD,Nvidia,Programming
975,975,HP,Notebook,15.6,8.0,Windows 10,2.04,979.0,Full HD,1920.0,1080.0,No,Yes,No,Intel,2.7,128,GB SSD,1024,HDD,Nvidia,Programming
976,976,Lenovo,Notebook,14.0,4.0,Windows 7,1.7,1002.0,Standard,1366.0,768.0,No,No,No,Intel,2.3,508,GB Hybrid,0,No,Intel,Work/Business
977,977,Asus,2 in 1 Convertible,15.6,16.0,Windows 10,2.3,1799.0,4K Ultra HD,3840.0,2160.0,Yes,No,No,Intel,2.7,512,GB SSD,2048,HDD,Nvidia,Programming
978,978,HP,Notebook,15.6,6.0,Windows 10,2.04,579.0,Standard,1366.0,768.0,No,No,No,Intel,2.7,1,TB HDD,0,No,Intel,Uni/School
979,979,Asus,Gaming,17.3,16.0,Windows 10,2.99,1749.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.8,256,GB SSD,1024,HDD,Nvidia,Programming
980,980,Dell,2 in 1 Convertible,15.6,12.0,Windows 10,2.19,1299.0,Full HD,1920.0,1080.0,Yes,Yes,No,Intel,2.7,512,GB SSD,0,No,Intel,Programming
981,981,Toshiba,Notebook,13.3,4.0,Windows 7,1.2,1195.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.3,128,GB SSD,0,No,Intel,Work/Business
982,982,Lenovo,Notebook,15.6,6.0,Windows 10,2.2,549.0,Full HD,1920.0,1080.0,No,No,No,AMD,3.6,256,GB SSD,0,No,AMD,Programming
983,983,Fujitsu,Notebook,15.6,4.0,Windows 10,2.3,649.0,Standard,1366.0,768.0,No,No,No,Intel,2.3,256,GB SSD,0,No,Intel,Work/Business
984,984,Toshiba,Notebook,14.0,4.0,Windows 10,1.75,915.0,Standard,1366.0,768.0,No,No,No,Intel,2.3,500,GB HDD,0,No,Intel,Work/Business
985,985,Dell,Notebook,15.6,4.0,Windows 10,2.25,599.0,Standard,1366.0,768.0,No,No,No,Intel,2.5,500,GB HDD,0,No,AMD,Programming
986,986,HP,Notebook,15.6,8.0,Windows 10,2.04,806.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.5,1,TB HDD,0,No,Intel,Programming
987,987,Lenovo,Gaming,15.6,8.0,Windows 10,2.5,1189.0,Full HD,1920.0,1080.0,No,Yes,No,Intel,2.8,128,GB SSD,1024,HDD,Nvidia,Programming
988,988,Dell,Notebook,15.6,8.0,Windows 10,2.36,749.0,Standard,1366.0,768.0,No,No,No,Intel,2.7,1,TB HDD,0,No,AMD,Programming
989,989,Dell,Notebook,14.0,8.0,Windows 10,1.6,1119.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.5,128,GB SSD,0,No,Intel,Programming
990,990,HP,Netbook,12.5,8.0,Windows 10,0.97,1908.0,Full HD,1920.0,1080.0,No,No,No,Intel,1.2,512,GB SSD,0,No,Intel,Programming
991,991,HP,Notebook,15.6,4.0,Windows 10,2.1,499.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.0,128,GB SSD,1024,HDD,AMD,Programming
992,992,Lenovo,Notebook,15.6,4.0,No OS,1.9,270.62,Standard,1366.0,768.0,No,No,No,Intel,1.1,128,GB SSD,0,No,Intel,Uni/School
993,993,Lenovo,Notebook,15.6,8.0,Windows 10,2.3,1349.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.3,256,GB SSD,0,No,Intel,Work/Business
994,994,Dell,2 in 1 Convertible,13.3,8.0,Windows 10,1.68,889.0,Full HD,1920.0,1080.0,Yes,No,No,Intel,2.5,256,GB SSD,0,No,Intel,Programming
995,995,Asus,Notebook,13.3,8.0,Windows 10,1.4,1150.0,Quad HD+,3200.0,1800.0,No,No,No,Intel,2.5,256,GB SSD,0,No,Intel,Programming
996,996,HP,Ultrabook,13.3,8.0,Windows 10,1.11,1349.0,Full HD,1920.0,1080.0,Yes,Yes,No,Intel,2.7,256,GB SSD,0,No,Intel,Programming
997,997,Acer,Notebook,15.6,4.0,Windows 10,2.4,380.0,Standard,1366.0,768.0,No,No,No,Intel,1.1,500,GB HDD,0,No,Intel,Uni/School
998,998,Asus,Gaming,15.6,16.0,Windows 10,2.5,1799.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.8,256,GB SSD,1024,HDD,Nvidia,Programming
999,999,HP,Ultrabook,14.0,8.0,Windows 10,1.48,2089.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.7,512,GB SSD,0,No,Intel,Programming
1000,1000,Acer,Gaming,15.6,8.0,Windows 10,2.7,1260.0,Full HD,1920.0,1080.0,No,Yes,No,Intel,2.8,128,GB SSD,1024,HDD,Nvidia,Programming
1001,1001,HP,Notebook,13.3,8.0,Windows 10,1.34,1189.0,Full HD,1920.0,1080.0,No,Yes,No,Intel,2.5,256,GB SSD,0,No,Intel,Programming
1002,1002,Dell,Notebook,15.6,4.0,Windows 10,2.18,547.0,Standard,1366.0,768.0,No,No,No,Intel,2.4,128,GB SSD,0,No,Intel,Uni/School
1003,1003,HP,Notebook,14.0,4.0,Windows 10,1.64,779.0,Standard,1366.0,768.0,No,No,No,Intel,2.5,500,GB HDD,0,No,Intel,Work/Business
1004,1004,Toshiba,Notebook,13.3,4.0,Windows 10,1.2,1195.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.3,128,GB SSD,0,No,Intel,Work/Business
1005,1005,HP,Notebook,14.0,4.0,Windows 10,1.48,1099.99,Standard,1366.0,768.0,No,No,No,Intel,2.4,256,GB SSD,0,No,Intel,Work/Business
